Id,ValueAttribute,Value,StringValue,Measure,Type waarde,Beroepsklasse,Perioden,RegioCode,RegioS
0,None,9548.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,NL01,Nederland
1,None,917.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,LD01,Noord-Nederland (LD)
2,None,2032.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,LD02,Oost-Nederland (LD)
3,None,4597.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,LD03,West-Nederland (LD)
4,None,2002.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,LD04,Zuid-Nederland (LD)
5,None,316.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,PV20,Groningen (PV)
6,None,345.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,PV21,Fryslân (PV)
7,None,257.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,PV22,Drenthe (PV)
8,None,644.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,PV23,Overijssel (PV)
9,None,241.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,PV24,Flevoland (PV)
10,None,1146.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,PV25,Gelderland (PV)
11,None,772.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,PV26,Utrecht (PV)
12,None,1611.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,PV27,Noord-Holland (PV)
13,None,2013.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,PV28,Zuid-Holland (PV)
14,None,202.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,PV29,Zeeland (PV)
15,None,1426.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,PV30,Noord-Brabant (PV)
16,None,576.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,PV31,Limburg (PV)
17,None,13.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1680,Aa en Hunze
18,None,19.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0358,Aalsmeer
19,None,15.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0197,Aalten
20,None,15.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0059,Achtkarspelen
21,None,11.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0482,Alblasserdam
22,None,14.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0613,Albrandswaard
23,None,61.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0361,Alkmaar
24,None,38.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0141,Almelo
25,None,123.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0034,Almere
26,None,64.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0484,Alphen aan den Rijn
27,None,6.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1723,Alphen-Chaam
28,None,31.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1959,Altena
29,None,2.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0060,Ameland
30,None,91.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0307,Amersfoort
31,None,49.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0362,Amstelveen
32,None,519.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0363,Amsterdam
33,None,88.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0200,Apeldoorn
34,None,90.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0202,Arnhem
35,None,37.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0106,Assen
36,None,9.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0743,Asten
37,None,4.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0744,Baarle-Nassau
38,None,12.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0308,Baarn
39,None,27.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0489,Barendrecht
40,None,33.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0203,Barneveld
41,None,8.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0888,Beek (L.)
42,None,19.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1954,Beekdaelen
43,None,7.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0889,Beesel
44,None,19.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1945,Berg en Dal
45,None,11.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1724,Bergeijk
